"Cao wages, contractual wage costs and working hours; index (2010=100)"
"Sector/branches (SIC 2008): A-U All economic activities"
"Version: Current figures"
""
"Topic";"Index figures|Hourly cao wages incl. special payments";"Index figures|Hourly contractual wage costs";"Year-on-year change|Hourly cao wages incl. special payments";"Year-on-year change|Hourly contractual wage costs"
"Cao sectors";"Total Collective labour agreement sector";"Total Collective labour agreement sector";"Total Collective labour agreement sector";"Total Collective labour agreement sector"
"Periods";"2010=100";"2010=100";"%";"%"
"2010 January";"99.7";"99.7";".";"."
"2010 February";"99.8";"99.7";".";"."
"2010 March";"99.8";"99.8";".";"."
"2010 April";"99.9";"99.8";".";"."
"2010 May";"99.9";"99.9";".";"."
"2010 June";"99.9";"99.9";".";"."
"2010 July";"100.1";"100.1";".";"."
"2010 August";"100.1";"100.2";".";"."
"2010 September";"100.2";"100.2";".";"."
"2010 October";"100.2";"100.2";".";"."
"2010 November";"100.2";"100.2";".";"."
"2010 December";"100.2";"100.3";".";"."
"2011 January";"100.7";"101.0";"1.0";"1.3"
"2011 February";"100.8";"101.1";"1.0";"1.4"
"2011 March";"100.8";"101.1";"1.0";"1.3"
"2011 April";"100.8";"101.2";"0.9";"1.4"
"2011 May";"100.9";"101.2";"1.0";"1.3"
"2011 June";"100.9";"101.2";"1.0";"1.3"
"2011 July";"101.3";"101.7";"1.2";"1.6"
"2011 August";"101.3";"101.7";"1.2";"1.5"
"2011 September";"101.4";"101.7";"1.2";"1.5"
"2011 October";"101.5";"101.8";"1.3";"1.6"
"2011 November";"101.5";"101.9";"1.3";"1.7"
"2011 December";"101.5";"101.9";"1.3";"1.6"
"2012 January";"101.9";"103.0";"1.2";"2.0"
"2012 February";"102.0";"103.2";"1.2";"2.1"
"2012 March";"102.0";"103.2";"1.2";"2.1"
"2012 April";"102.2";"103.6";"1.4";"2.4"
"2012 May";"102.3";"103.7";"1.4";"2.5"
"2012 June";"102.4";"103.7";"1.5";"2.5"
"2012 July";"102.7";"104.1";"1.4";"2.4"
"2012 August";"102.9";"104.2";"1.6";"2.5"
"2012 September";"102.9";"104.3";"1.5";"2.6"
"2012 October";"103.0";"104.4";"1.5";"2.6"
"2012 November";"103.0";"104.4";"1.5";"2.5"
"2012 December";"103.0";"104.4";"1.5";"2.5"
"2013 January";"103.4";"105.2";"1.5";"2.1"
"2013 February";"103.4";"105.3";"1.4";"2.0"
"2013 March";"103.5";"105.3";"1.5";"2.0"
"2013  April";"103.5";"105.4";"1.3";"1.7"
"2013 May";"103.5";"105.4";"1.2";"1.6"
"2013 June";"103.6";"105.4";"1.2";"1.6"
"2013 July";"103.8";"105.7";"1.1";"1.5"
"2013 August";"103.8";"105.7";"0.9";"1.4"
"2013 September";"103.9";"105.7";"1.0";"1.3"
"2013 October";"103.9";"105.8";"0.9";"1.3"
"2013 November";"103.9";"105.8";"0.9";"1.3"
"2013 December";"104.0";"105.8";"1.0";"1.3"
"2014 January";"104.2";"106.5";"0.8";"1.2"
"2014 February";"104.3";"106.6";"0.9";"1.2"
"2014 March";"104.3";"106.6";"0.8";"1.2"
"2014 April";"104.4";"106.7";"0.9";"1.2"
"2014 May";"104.4";"106.7";"0.9";"1.2"
"2014 June";"104.5";"106.8";"0.9";"1.3"
"2014 July";"104.6";"106.9";"0.8";"1.1"
"2014 August";"104.7";"107.0";"0.9";"1.2"
"2014 September";"104.8";"107.1";"0.9";"1.3"
"2014 October";"104.9";"107.2";"1.0";"1.3"
"2014 November";"104.9";"107.2";"1.0";"1.3"
"2014 December";"105.0";"107.3";"1.0";"1.4"
"2015 January";"105.6";"107.1";"1.3";"0.6"
"2015 February";"105.6";"107.1";"1.2";"0.5"
"2015 March";"105.7";"107.2";"1.3";"0.6"
"2015 April";"105.8";"107.3";"1.3";"0.6"
"2015 May";"105.9";"107.3";"1.4";"0.6"
"2015 June";"105.9";"107.3";"1.3";"0.5"
"2015 July";"106.2";"107.6";"1.5";"0.7"
"2015 August";"106.2";"107.6";"1.4";"0.6"
"2015 September";"106.3";"107.8";"1.4";"0.7"
"2015 October";"106.4";"107.8";"1.4";"0.6"
"2015 November";"106.4";"107.9";"1.4";"0.7"
"2015 December";"106.6";"108.0";"1.5";"0.7"
"2016 January";"107.6";"109.1";"1.9";"1.9"
"2016 February";"107.6";"109.1";"1.9";"1.9"
"2016 March";"107.6";"109.2";"1.8";"1.9"
"2016 April";"107.8";"109.4";"1.9";"2.0"
"2016 May";"107.8";"109.4";"1.8";"2.0"
"2016 June";"107.8";"109.5";"1.8";"2.1"
"2016 July";"108.3";"109.9";"2.0";"2.1"
"2016 August";"108.3";"109.9";"2.0";"2.1"
"2016 September";"108.4";"109.9";"2.0";"1.9"
"2016 October";"108.4";"110.0";"1.9";"2.0"
"2016 November";"108.4";"110.0";"1.9";"1.9"
"2016 December";"108.4";"110.0";"1.7";"1.9"
"2017 January";"109.0";"111.1";"1.3";"1.8"
"2017 February";"109.0";"111.1";"1.3";"1.8"
"2017 March";"109.1";"111.2";"1.4";"1.8"
"2017 April";"109.2";"111.3";"1.3";"1.7"
"2017 May";"109.2";"111.3";"1.3";"1.7"
"2017 June";"109.2";"111.3";"1.3";"1.6"
"2017 July";"109.7";"111.9";"1.3";"1.8"
"2017 August";"109.9";"112.1";"1.5";"2.0"
"2017 September";"109.9";"112.1";"1.4";"2.0"
"2017 October";"110.0";"112.1";"1.5";"1.9"
"2017 November";"110.0";"112.2";"1.5";"2.0"
"2017 December";"110.0";"112.2";"1.5";"2.0"
"2018 January";"111.0";"113.7";"1.8";"2.3"
"2018 February";"111.0";"113.7";"1.8";"2.3"
"2018 March";"111.1";"113.8";"1.8";"2.3"
"2018 April";"111.1";"113.8";"1.7";"2.2"
"2018 May";"111.2";"113.9";"1.8";"2.3"
"2018 June ";"111.3";"114.0";"1.9";"2.4"
"2018 July";"112.0";"114.8";"2.1";"2.6"
"2018 August";"112.1";"114.9";"2.0";"2.5"
"2018 September";"112.2";"115.0";"2.1";"2.6"
"2018 October";"112.4";"115.2";"2.2";"2.8"
"2018 November";"112.4";"115.2";"2.2";"2.7"
"2018 December";"112.4";"115.2";"2.2";"2.7"
"2019 January";"113.3";"116.7";"2.1";"2.6"
"2019 February";"113.5";"116.9";"2.3";"2.8"
"2019 March";"113.6";"117.0";"2.3";"2.8"
"2019 April";"114.0";"117.4";"2.6";"3.2"
"2019 May";"114.0";"117.4";"2.5";"3.1"
"2019 June";"114.3";"117.6";"2.7";"3.2"
"2019 July";"115.0";"118.4";"2.7";"3.1"
"2019 August";"115.1";"118.5";"2.7";"3.1"
"2019 September";"115.2";"118.6";"2.7";"3.1"
"2019 October";"115.3";"118.8";"2.6";"3.1"
"2019 November";"115.4";"118.9";"2.7";"3.2"
"2019 December";"115.6";"119.1";"2.8";"3.4"
"2020 January";"116.8";"120.1";"3.1";"2.9"
"2020 February";"116.9";"120.2";"3.0";"2.8"
"2020 March";"117.0";"120.4";"3.0";"2.9"
"2020 April";"117.1";"120.6";"2.7";"2.7"
"2020 May";"117.2";"120.6";"2.8";"2.7"
"2020 June";"117.4";"120.9";"2.7";"2.8"
"2020 July";"118.4";"121.9";"3.0";"3.0"
"2020 August";"118.5";"122.0";"3.0";"3.0"
"2020 September";"118.6";"122.1";"3.0";"3.0"
"2020 October";"118.7";"122.2";"2.9";"2.9"
"2020 November";"118.7";"122.2";"2.9";"2.8"
"2020 December";"118.7";"122.2";"2.7";"2.6"
"2021 January";"119.5";"123.6";"2.3";"2.9"
"2021 February";"119.6";"123.7";"2.3";"2.9"
"2021 March";"119.7";"123.8";"2.3";"2.8"
"2021 April";"119.8";"123.9";"2.3";"2.7"
"2021 May";"119.9";"124.0";"2.3";"2.8"
"2021 June";"120.0";"124.2";"2.2";"2.7"
"2021 2nd quarter";"119.9";"124.0";"2.2";"2.7"
"2021 July";"120.7";"124.9";"1.9";"2.5"
"2021 August";"120.8";"123.3";"1.9";"1.1"
"2021 September";"120.8";"123.3";"1.9";"1.0"
"2021 3rd quarter";"120.8";"123.8";"1.9";"1.5"
"2021 October";"121.0";"123.4";"1.9";"1.0"
"2021 November";"121.0";"123.4";"1.9";"1.0"
"2021 December";"121.0";"123.5";"1.9";"1.1"
"2021 4th quarter";"121.0";"123.4";"1.9";"1.0"
"2021 year";"120.3";"123.7";"2.1";"2.0"
"2022 January*";"122.5";"126.4";"2.5";"2.3"
"2022 February*";"122.7";"126.6";"2.6";"2.3"
"2022 March*";"123.0";"126.9";"2.8";"2.5"
"2022 1st quarter*";"122.7";"126.6";"2.6";"2.3"
"2022 April*";"123.3";"127.3";"2.9";"2.7"
"2022 May*";"123.5";"127.5";"3.0";"2.8"
"2022 June*";"123.7";"127.7";"3.1";"2.8"
"2022 2nd quarter*";"123.5";"127.5";"3.0";"2.8"
"2022 July*";"124.7";"128.8";"3.3";"3.1"
"2022 August*";"124.9";"128.9";"3.4";"4.5"
"2022 September*";"125.1";"129.2";"3.6";"4.8"
"2022 3rd quarter*";"124.9";"129.0";"3.4";"4.2"
"Source: CBS"
